"datasetName","decimalLongitude","decimalLatitude","depth","scientificName"
"gbif",-87.007233,20.296613,NA,"Pomacanthus paru"
"gbif",-86.749931,21.212282,NA,"Pomacanthus paru"
"gbif",-64.721608,18.365816,NA,"Pomacanthus paru"
"gbif",-61.551,16.264464,NA,"Pomacanthus paru"
"gbif",-41.790185,-22.770536,NA,"Pomacanthus paru"
"gbif",-86.749948,21.212184,NA,"Pomacanthus paru"
"gbif",-77.181249,18.442172,NA,"Pomacanthus paru"
"gbif",-67.168947,18.472243,NA,"Pomacanthus paru"
"gbif",-63.256158,17.617267,NA,"Pomacanthus paru"
"gbif",-59.64345,13.173829,NA,"Pomacanthus paru"
"gbif",-87.00187,16.077986,NA,"Pomacanthus paru"
"gbif",-67.101092,18.514917,NA,"Pomacanthus paru"
"gbif",-67.264217,18.349672,NA,"Pomacanthus paru"
"gbif",-87.75635,18.509719,NA,"Pomacanthus paru"
"gbif",-68.262382,12.20189,NA,"Pomacanthus paru"
"gbif",-67.076676,18.513621,NA,"Pomacanthus paru"
"gbif",-67.264385,18.349492,NA,"Pomacanthus paru"
"gbif",-81.405914,24.548481,NA,"Pomacanthus paru"
"gbif",-86.413483,16.360623,NA,"Pomacanthus paru"
"gbif",-61.078684,13.86633,NA,"Pomacanthus paru"
"gbif",-61.07918,13.863966,NA,"Pomacanthus paru"
"gbif",-68.294838,12.11525,NA,"Pomacanthus paru"
"gbif",-68.294875,12.115305,NA,"Pomacanthus paru"
"gbif",-68.295042,12.114968,NA,"Pomacanthus paru"
"gbif",-68.295014,12.115052,NA,"Pomacanthus paru"
"gbif",-68.231422,12.092729,NA,"Pomacanthus paru"
"gbif",-86.992995,20.448088,NA,"Pomacanthus paru"
"gbif",-68.280693,12.070752,NA,"Pomacanthus paru"
"gbif",-80.042987,26.785482,NA,"Pomacanthus paru"
"gbif",-68.305905,12.198308,NA,"Pomacanthus paru"
"gbif",-68.30563,12.198164,NA,"Pomacanthus paru"
"gbif",-68.322223,12.210588,NA,"Pomacanthus paru"
"gbif",-68.282547,12.063943,NA,"Pomacanthus paru"
"gbif",-68.227621,12.25773,NA,"Pomacanthus paru"
"gbif",-68.352051,12.219072,NA,"Pomacanthus paru"
"gbif",-88.062222,16.898056,NA,"Pomacanthus paru"
"gbif",-63.2546,17.616975,NA,"Pomacanthus paru"
"gbif",-68.294903,12.115318,NA,"Pomacanthus paru"
"gbif",-87.062198,20.623227,NA,"Pomacanthus paru"
"gbif",-80.070603,26.3665,NA,"Pomacanthus paru"
"gbif",-86.601621,16.271874,NA,"Pomacanthus paru"
"gbif",-80.109981,26.058166,NA,"Pomacanthus paru"
"gbif",-87.019974,20.428272,NA,"Pomacanthus paru"
"gbif",-67.273194,18.081554,NA,"Pomacanthus paru"
